date;Share Price;Adjusted Share Price;ExpiryDate;ExercisePrice;Option price;EndofDayDelta;Empirical volatility;Implied volatility
2026-01-13;31.455;31.164745101956274;2026-12-18;32.0;1.71;43.8506;20.0;20.864
2026-01-14;31.7;31.407484334192144;2026-12-18;32.0;2.0;48.481;20.0;20.563
2026-01-15;31.78;31.48674612430998;2026-12-18;32.0;2.2;50.3502;21.0;21.228
2026-01-16;31.87;31.575915638192548;2026-12-18;32.0;2.22;50.8135;21.0;21.089
2026-01-19;31.63;31.33813026783904;2026-12-18;32.0;2.11;49.6868;21.0;21.023
2026-01-21;31.56;31.268776201485935;2026-12-18;32.0;2.03;48.2764;21.0;21.292
2026-01-22;30.91;30.624774156778525;2026-12-18;32.0;2.11;49.2719;21.0;21.385
2026-01-23;31.18;30.892282698426218;2026-12-18;32.0;1.83;45.0571;21.0;21.703
2026-01-27;31.155;30.867513389014395;2026-12-18;32.0;1.81;45.333;21.0;21.399
2026-01-28;31.635;31.343084129721408;2026-12-18;32.0;1.88;46.3223;21.0;21.469
2026-01-29;32.415;32.1158865833703;2026-12-18;32.0;2.15;49.638;21.0;21.707
2026-01-30;32.325;32.02671706948774;2026-12-18;32.0;2.64;54.7987;22.0;22.572
2026-02-03;32.435;32.13570203089976;2026-12-18;32.0;2.46;53.4235;22.0;22.102
2026-02-04;33.245;32.93822765584283;2026-12-18;32.0;2.55;54.7421;21.0;21.936
2026-02-05;31.985;31.689854461486934;2026-12-18;32.0;3.03;59.8168;22.0;22.056
2026-02-06;32.09;31.793885561016594;2026-12-18;32.0;2.34;51.8635;22.0;22.254
2026-02-10;32.58;32.27936402548833;2026-12-18;32.0;2.62;55.2215;22.0;22.418
2026-02-11;33.555;33.245367092549444;2026-12-18;32.0;2.67;55.6415;22.0;22.64
2026-02-12;33.2;32.893642898901554;2026-12-18;32.0;3.27;61.5007;22.0;22.838
2026-02-13;33.085;32.779704075607164;2026-12-18;32.0;3.08;59.3344;23.0;23.065
2026-02-17;32.845;32.54191870525366;2026-12-18;32.0;3.02;58.5692;23.0;23.367
2026-02-18;33.64;33.32958274454965;2026-12-18;32.0;2.88;57.1627;23.0;23.44
2026-02-19;33.725;33.725;2026-12-18;32.0;3.4;61.7714;23.0;23.819
2026-02-20;33.67;33.67;2026-12-18;32.0;3.71;63.8649;24.0;24.449
2026-02-24;34.175;34.175;2026-12-18;32.0;3.78;65.3003;23.0;23.903
2026-02-25;34.57;34.57;2026-12-18;32.0;3.89;66.4533;23.0;23.648
2026-02-26;34.68;34.68;2026-12-18;32.0;4.14;68.6137;23.0;23.527
2026-02-27;35.0;35.0;2026-12-18;32.0;4.25;69.0162;23.0;23.919
2026-03-03;35.755;35.755;2026-12-18;32.0;5.34;73.7467;26.0;26.129
2026-03-04;35.215;35.215;2026-12-18;32.0;5.23;72.8829;26.0;26.424
2026-03-05;35.76;35.76;2026-12-18;32.0;4.78;70.7791;25.0;25.754
2026-03-06;36.17;36.17;2026-12-18;32.0;5.17;73.2432;25.0;25.88
